,0,1,id,word,degree
431,1.1852027,-2.4122653,703,ancien,779
432,0.17317873,0.11591187,836,utilisation,579
433,1.0157083,2.6564307,273,unique,1055
434,-1.2480522,0.5624567,652,risque,453
435,0.010571147,2.604679,1580,participation,776
436,-1.2902402,2.369224,481,puisque,526
437,-0.5726249,1.6168746,922,actuelle,538
438,-0.7116417,-0.7839322,1231,bénéficier,642
439,1.298131,-1.5518168,492,inutile,554
440,1.6815022,0.44484264,145,général,506
441,1.1969349,2.8984342,726,barème,921
442,1.9053143,-0.1427543,858,domaine,449
443,2.7417262,1.2810141,467,locaux,639
444,2.2136476,1.1294217,2360,ifi,804
445,0.45126328,-2.3874714,1075,dirigeant,571
446,0.71303016,0.39819595,2553,concernant,603
447,1.4560702,-1.2901856,2256,personnel,438
448,-1.0923573,3.281355,2357,chez,497
449,0.9236711,2.0831614,3739,lié,582
450,0.9099767,0.21661308,1078,pourraient,447
451,-1.2651423,2.7321005,2240,travaillent,721
452,2.4592936,-0.522129,1605,transition,667
453,-1.8677673,0.8742177,719,réforme,585
454,2.9577882,0.80456996,2727,loyer,720
455,1.8183619,0.35887688,311,association,578
456,-1.8409505,2.022124,2126,assez,580
457,4.3869615,-0.5029309,1495,forte,607
458,3.0072255,0.6586854,2313,maison,530
459,1.2993506,-2.4142623,1044,ministre,749
460,-1.8462594,0.5289277,2420,demande,442
461,0.3341155,2.0036275,167,seront,453
462,-0.8661033,-1.0707029,1982,profitent,782
463,0.13201304,2.6159182,1188,équitable,818
464,0.8008716,3.115739,1122,propose,545
465,2.5373862,-0.108276755,840,région,540
466,0.8732239,0.28159693,873,investir,606
467,-1.6408858,2.7501037,2830,gagner,641
468,1.3366796,0.5607928,3235,contrepartie,638
469,-0.8750159,1.1161168,2326,passer,518
470,-1.3406013,1.6677086,834,nombreux,432
471,-1.0114386,1.8566306,496,parfois,402
472,-1.4994351,1.6161027,275,veut,516
473,0.79920346,0.30038902,1704,aider,552
474,-0.94793665,1.1982608,1606,savoir,458
475,3.394764,-1.0369273,384,production,499
476,-0.38812315,2.632115,1466,contribue,1011
477,-1.168229,1.1386411,1740,cause,421
478,0.15185016,0.591014,2144,permettant,518
479,1.9819747,1.2840326,281,assurance,535
480,-1.8096948,0.7988125,1293,idé,486
481,1.0863668,3.092004,1240,progressive,1157
482,-1.0557623,-0.087033674,1959,trouver,500
483,-0.8454468,2.5829387,1732,actif,556
484,-0.32113883,-0.30156142,1985,passe,526
485,1.04438,2.8982751,1235,instaurer,771
486,-2.6878734,-1.1156665,1477,peine,583
487,0.35582876,-0.33064058,2290,obligation,521
488,0.20255125,2.9441504,268,catégorie,606
489,1.5691347,0.3175636,154,subvention,505
490,0.94737077,-1.895979,1277,régime,662
491,1.5082831,0.9939337,312,diverse,653
492,-0.7765717,-0.93458986,348,bénéficient,714
493,0.37529898,1.0775349,1032,différent,518
494,0.6208972,0.44312277,3393,gain,538
495,-0.729585,3.7660165,1181,couple,854
496,0.041948147,-0.7718313,3270,vente,469
497,1.2701786,-1.0735352,234,gestion,448
498,-0.34506732,2.6006293,1463,concerné,701
499,0.93160105,-0.015811319,1086,fonds,455
500,0.27844846,2.5063949,1712,faisant,532
501,1.4692507,0.06497409,2831,via,419
502,-1.6652659,2.0360706,929,moment,411
503,0.05115574,-1.1295327,3352,employé,470
504,0.7452236,2.8858857,1926,dernière,485
505,0.08848404,1.7220283,1206,actuel,474
506,4.5541415,-0.5920361,1377,indispensable,509
